Lagt inn tekst?,key,name,synonyms,risk,symptoms,coal,action
Ja,Acetyl,Acetylsalisylsyre,"Dispril, Aspirin, Globoid.","Farlig ved overdosering, spesielt for småbarn","Slapphet, rødhet i huden, feber, pustevansker, bevisstløshet, kramper",Ja,
,tranqualizer,Beroligende midler ,,Farlige ved overdosering,"Sløvhet, bevisstløshet, pustevansker",Ja,
Ja,Fluor,Fluorpreparater ,"Flux, fluortabletter?",25 mg fluorid eller 1 ss tannkrem er ufarlig,"Kvalme, brekninger, diaré, kramper",Nei,Gi melk å drikke
,Cough,Hostesaft,Hostemedisin,"Kan være farlig ved overdosering, spesielt de reseptpliktige","Bevisstløshet, pustevansker",Ja,
,Iron,Jerntabletter,jern,Farlige ved overdosering,"Magesmerter, kvalme, diaré, slapphet, Nei bevisstløshet, kramper, leverskade, nyreskade",Nei,
Ja,Malaria,"Malariatabletter (Klorokin, hydroksyklorokin)",malariamedisin,"Svært farlige, spesielt for barn","Alvorlige symptomer som pustevansker, bevisstløshet, kramper, hjertepåvirkning",Ja,Haster! Ring 113
Ja,Vitamin,Multivitaminer – uten jern ,"Multivitaminer, a-vitamin, b-vitamin, d-vitamin, tran",Lite farlig (inntil 20 tabletter er ufarlig),"Kan gi brekninger, magesmerter og diaré pga. søtningsstoffer",Ja,
Ja,Nosedrops,Nesedråper,,Enkelte typer kan gi forgiftning ved overdosering. Spesielt farlig for små barn,"Sløvhet, uro, kramper, hjertepåvirkning",Ja,
Ja,Paracet,Paracetamol,"smertestillende, febernedsettende, febermedisin",Farlig ved overdosering,"Kvalme, brekninger, magesmerter, leverskade",Ja,
Ja,Painkiller,Ibuprofen,"smertestillende, febernedsettende, febermedisin",Over 400 mg er farlig,"kvalme, brekninger, magesmerter, leverskade, sløvhet",Ja,
Ja,P_pill,P-piller,,Et brett er ufarlig,"Kvalme, brekninger",Ja,
,Motionsickness,Reisesyketabeletter,,Farlige ved overdosering,"Uro, sløvhet, bevisstløshet, kramper",Ja,
,Sleepingpills,Sovemedisiner,sovemedisin,Farlige ved overdosering,"Sløvhet, bevisstløshet, pustevansker",Ja,
,Manlyman,Aftershave,"after shave, manneparfyme, godlukt, eau de vie, etterbarberingsvann",Farlig for barn,"Sløvhet, bevisstløshet, pustevanker",Nei,Gi drikke. Skyll øyne. 
,Alcohol,"Alkohol, etanol, sprit",,Farlig for barn,"Sløvhet, bevisstløshet, pustevanker",Nei,Gi drikke. Skyll øyne/hud. 
,,,,,,Nei,Gi drikke. Skyll øyne/hud. 
,,,,,,Nei,
,Degrease,Avfettingsmidler,,Kan være farlig,Avhengig av innholdsstoffer,Nei,Gi drikke. Skyll øyne/hud.
,Toiletopeners,Avløpsåpnere,"WC And, domestos Fresh, dovask, plumbo",Svært farlige,Sterkt etsende (alkaiske),Nei,"Unngår brekninger. Gi øyeblikkelig drikke, gjerne melk. Langvarig skylling ved søl på hud/øyne. Se også  generelle tiltak."
